Name,Easting,Northing,Elevation,Date_Obs,Time_Obs,,
DHT89_B1_P_1,394865.7673,7616423.593,719.645581,6/25/2019,2:06:53 PM,,"Coordinate System: UTM, Zone 6N"
DHT89_B1_P_2,394865.0386,7616418.671,719.649124,6/25/2019,2:07:14 PM,,Datum: NAD 1983 (2011)
DHT89_B1_P_3,394845.8496,7616426.325,719.747133,6/25/2019,2:07:16 PM,,"Altitude: Mean Sea Level (MSL), meters"
DHT89_B1_P_4,394845.0448,7616421.672,719.755116,6/25/2019,2:07:29 PM,,Geiod: Geiod12B (Alaska)
DHT89_B1_CT1_1,394868.1007,7616437.276,719.587016,6/25/2019,2:05:20 PM,,
DHT89_B1_CT1_2,394867.4383,7616432.312,719.504261,6/25/2019,2:05:45 PM,,
DHT89_B1_CT1_3,394848.02,7616440.445,719.465204,6/25/2019,2:05:59 PM,,
DHT89_B1_CT1_4,394847.237,7616435.549,719.589654,6/25/2019,2:06:14 PM,,
DHT89_B1_CT2_1,394866.8623,7616430.466,719.59809,6/25/2019,2:06:09 PM,,
DHT89_B1_CT2_2,394866.0666,7616425.568,719.640576,6/25/2019,2:06:29 PM,,
DHT89_B1_CT2_3,394846.9047,7616433.521,719.624875,6/25/2019,2:06:29 PM,,
DHT89_B1_CT2_4,394846.1466,7616428.693,719.719546,6/25/2019,2:06:49 PM,,
DHT89_B1_EXC-CT-LF_1,394873.0372,7616471.907,719.546997,6/25/2019,1:58:06 PM,,
DHT89_B1_EXC-CT-LF_2,394872.4121,7616467.045,719.645587,6/25/2019,1:58:29 PM,,
DHT89_B1_EXC-CT-MF_5,394868.0807,7616472.651,719.645587,6/25/2020,,,
DHT89_B1_EXC-CT-MF_6,394867.2658,7616467.455,719.091714,6/25/2021,,,
DHT89_B1_EXC-CT-NF_3,394853.3057,7616475.084,719.091714,6/25/2019,1:58:09 PM,,
DHT89_B1_EXC-CT-NF_4,394852.5928,7616470.14,719.104057,6/25/2019,1:58:26 PM,,
DHT89_B1_EXC-CT-SF_3,394863.0122,7616473.37,719.562581,6/25/2019,1:59:32 PM,,
DHT89_B1_EXC-CT-SF_4,394862.2858,7616468.288,719.610701,6/25/2019,1:58:56 PM,,
DHT89_B1_EXC-NP-LF_1,394869.0415,7616444.233,719.523168,6/25/2019,2:04:20 PM,,
DHT89_B1_EXC-NP-LF_2,394868.3958,7616439.364,719.509402,6/25/2019,2:04:41 PM,,
DHT89_B1_EXC-NP-MF_5,394864.1418,7616445.053,719.509402,6/25/2020,,,
DHT89_B1_EXC-NP-MF_6,394863.4671,7616440.005,719.382343,6/25/2021,,,
DHT89_B1_EXC-NP-NF_3,394849.1025,7616447.36,719.382343,6/25/2019,2:02:33 PM,,
DHT89_B1_EXC-NP-NF_4,394848.3366,7616442.479,719.432773,6/25/2019,2:02:50 PM,,
DHT89_B1_EXC-NP-SF_3,394859.1684,7616445.866,719.749981,6/25/2019,2:04:21 PM,,
DHT89_B1_EXC-NP-SF_4,394858.4449,7616440.695,719.844373,6/25/2019,2:05:10 PM,,
DHT89_B1_EXTRA3_1,394863.6905,7616409.784,719.733045,6/25/2019,2:08:35 PM,,
DHT89_B1_EXTRA3_2,394862.815,7616404.837,719.749969,6/25/2019,2:08:52 PM,,
