Location,Lat,Long
Toolik field station,68.626803,-149.595317
MAT06_B1,68.622993,-149.608835
MAT06_B2,68.622148,-149.608904
MAT06_B3,68.621217,-149.611340
MAT06_B4,68.619621,-149.607887
MAT89_B2,68.623915,-149.609739
MAT89_B1,68.624353,-149.609777
MAT89_B3,68.62465,-149.611615
MAT89_B4,68.624304,-149.61161
WS89_inlet_B1,68.625273,-149.602205
WS89_outlet_B2,68.646883,-149.576833
WS89_outlet_B3,68.646922,-149.576464
DHT89_B1,68.639816,-149.587656
DHT89_B2,68.640527,-149.587914
DHT89_B3,68.641182,-149.586896
SHB89_B1,68.638921,-149.568932
SHB89_B2,68.635628,-149.587057
MNN97_B1,68.634104,-149.639696
MNN97_B2,68.633997,-149.639047
MNN97_B3,68.633967,-149.637223
MNT97_B1,68.634719,-149.643312
MNT97_B2,68.63435,-149.642825
MNT97_B3,68.634386,-149.642267
MAT81_B1,68.629499,-149.577606
MAT81_B2,68.629548,-149.576502
MAT81_B3,68.629484,-149.575897
MAT81_B4,68.629121,-149.575894
